DB, USER, TIME, COMMAND,
Production, Alice, 10am, Select,
Production, Alice, 5pm, Select,
Production, Alice, 10am, Delete,
Production, Alice, 5pm, Delete,
Production, Bob, 10am, Select,
Production, Bob, 5pm, Select,
Production, Bob, 10am, Delete,
Production, Bob, 5pm, Delete,
Development, Alice, 10am, Select,
Development, Alice, 5pm, Select,
Development, Alice, 10am, Delete,
Development, Alice, 5pm, Delete,
Development, Bob, 10am, Select,
Development, Bob, 5pm, Select,
Development, Bob, 10am, Delete,
Development, Bob, 5pm, Delete,